Category: All categories

Month,Ebola: (United States),Zika virus: (United States),Swine influenza: (United States),COVID-19: (United States)
2021-11,<1,<1,<1,44
2021-12,<1,<1,<1,79
2022-01,<1,<1,<1,100
2022-02,<1,<1,<1,31
2022-03,<1,<1,<1,22
2022-04,<1,<1,<1,21
2022-05,<1,<1,<1,25
2022-06,<1,<1,<1,25
2022-07,<1,<1,<1,28
2022-08,<1,<1,<1,20
2022-09,<1,<1,<1,16
2022-10,<1,<1,<1,13
2022-11,<1,<1,<1,11
2022-12,<1,<1,<1,14
2023-01,<1,<1,<1,11
2023-02,<1,<1,<1,9
2023-03,<1,<1,<1,7
2023-04,<1,<1,<1,6
2023-05,<1,<1,<1,5
2023-06,<1,<1,<1,4
2023-07,<1,<1,<1,4
2023-08,<1,<1,<1,9
2023-09,<1,<1,<1,12
2023-10,<1,<1,<1,8
2023-11,<1,<1,<1,6
2023-12,<1,<1,<1,9
