Category: All categories

Month,Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States)
2020-12,10,42,8,1,2
2021-01,11,43,7,1,1
2021-02,11,49,7,1,1
2021-03,11,49,7,2,1
2021-04,13,49,6,2,1
2021-05,12,50,6,2,1
2021-06,12,49,4,1,1
2021-07,13,47,3,1,2
2021-08,13,48,4,1,2
2021-09,12,44,5,2,2
2021-10,11,45,5,2,2
2021-11,11,46,4,2,1
2021-12,12,45,4,1,2
2022-01,14,59,7,2,1
2022-02,15,62,6,3,1
2022-03,13,63,6,2,1
2022-04,13,72,7,3,1
2022-05,14,74,6,2,3
2022-06,15,63,4,2,1
2022-07,15,62,3,2,2
2022-08,14,62,4,1,2
2022-09,13,64,5,2,1
2022-10,13,68,5,2,2
2022-11,12,66,5,2,1
2022-12,14,62,4,2,1
2023-01,14,66,4,2,1
2023-02,15,73,6,3,1
2023-03,15,76,5,3,1
2023-04,14,74,5,3,1
2023-05,15,76,5,3,1
2023-06,16,68,3,2,1
2023-07,16,64,2,2,1
2023-08,16,65,3,2,1
2023-09,16,73,5,3,2
2023-10,17,78,5,3,1
2023-11,16,73,5,3,2
2023-12,16,71,4,2,1
