Month,cough: (United States),vomiting: (United States),body aches: (United States),Vaccine: (United States),lockdown: (United States),Quarantine: (United States),WHO Guidelines: (United States),Face mask: (United States),Should I be worried: (United States),How dangerous is: (United States),What is a pandemic: (United States),emergency result: (United States),outbreak news: (United States),Ebola: (United States),Zika virus: (United States),Swine influenza: (United States),COVID-19: (United States)
2021-09-01,56,12,4.0,40,1.0,2.0,0.5,2.0,12,44,5.0,2.0,2.0,0.5,0.5,0.5,61.0
2021-10-01,57,12,4.0,29,0.5,1.0,0.5,1.0,11,45,5.0,2.0,2.0,0.5,0.5,0.5,38.0
2021-11-01,63,13,4.0,30,1.0,1.0,0.5,1.0,11,46,4.0,2.0,1.0,0.5,0.5,0.5,44.0
2021-12-01,75,15,7.0,26,1.0,4.0,0.5,1.0,12,45,4.0,1.0,2.0,0.5,0.5,0.5,79.0
2022-01-01,78,16,9.0,32,1.0,5.0,0.5,2.0,14,59,7.0,2.0,1.0,0.5,0.5,0.5,100.0
2022-02-01,46,15,4.0,13,1.0,1.0,0.5,1.0,15,62,6.0,3.0,1.0,0.5,0.5,0.5,31.0
2022-03-01,47,16,3.0,9,0.5,1.0,0.5,1.0,13,63,6.0,2.0,1.0,0.5,0.5,0.5,22.0
2022-04-01,52,15,4.0,9,1.0,1.0,0.5,1.0,13,72,7.0,3.0,1.0,0.5,0.5,0.5,21.0
2022-05-01,59,14,5.0,8,0.5,1.0,0.5,1.0,14,74,6.0,2.0,3.0,0.5,0.5,0.5,25.0
2022-06-01,57,13,5.0,9,0.5,1.0,0.5,1.0,15,63,4.0,2.0,1.0,0.5,0.5,0.5,25.0
2022-07-01,49,13,5.0,9,0.5,2.0,0.5,1.0,15,62,3.0,2.0,2.0,0.5,0.5,0.5,28.0
2022-08-01,49,12,4.0,10,0.5,1.0,0.5,1.0,14,62,4.0,1.0,2.0,0.5,0.5,0.5,20.0
2022-09-01,53,12,4.0,8,0.5,1.0,0.5,1.0,13,64,5.0,2.0,1.0,0.5,0.5,0.5,16.0
2022-10-01,68,13,4.0,8,0.5,1.0,0.5,1.0,13,68,5.0,2.0,2.0,0.5,0.5,0.5,13.0
2022-11-01,88,14,5.0,6,0.5,1.0,0.5,1.0,12,66,5.0,2.0,1.0,0.5,0.5,0.5,11.0
2022-12-01,90,15,6.0,6,0.5,1.0,0.5,1.0,14,62,4.0,2.0,1.0,0.5,0.5,0.5,14.0
2023-01-01,64,15,4.0,7,0.5,0.5,0.5,1.0,14,66,4.0,2.0,1.0,0.5,0.5,0.5,11.0
2023-02-01,63,16,4.0,5,0.5,0.5,0.5,1.0,15,73,6.0,3.0,1.0,0.5,0.5,0.5,9.0
2023-03-01,58,16,4.0,5,0.5,0.5,0.5,1.0,15,76,5.0,3.0,1.0,0.5,0.5,0.5,7.0
2023-04-01,51,15,4.0,5,0.5,0.5,0.5,1.0,14,74,5.0,3.0,1.0,0.5,0.5,0.5,6.0
2023-05-01,49,14,4.0,5,0.5,0.5,0.5,1.0,15,76,5.0,3.0,1.0,0.5,0.5,0.5,5.0
2023-06-01,44,14,3.0,5,0.5,0.5,0.5,1.0,16,68,3.0,2.0,1.0,0.5,0.5,0.5,4.0
2023-07-01,37,13,3.0,5,0.5,0.5,0.5,1.0,16,64,2.0,2.0,1.0,0.5,0.5,0.5,4.0
2023-08-01,38,11,4.0,5,1.0,0.5,0.5,1.0,16,65,3.0,2.0,1.0,0.5,0.5,0.5,9.0
2023-09-01,51,12,4.0,8,1.0,0.5,0.5,1.0,16,73,5.0,3.0,2.0,0.5,0.5,0.5,12.0
2023-10-01,61,13,4.0,8,0.5,0.5,0.5,1.0,17,78,5.0,3.0,1.0,0.5,0.5,0.5,8.0
2023-11-01,77,14,4.0,6,0.5,0.5,0.5,1.0,16,73,5.0,3.0,2.0,0.5,0.5,0.5,6.0
2023-12-01,92,16,6.0,5,0.5,0.5,0.5,1.0,16,71,4.0,2.0,1.0,0.5,0.5,0.5,9.0
