Category: All categories

Month,Vaccine: (United States),lockdown: (United States),Quarantine: (United States),WHO Guidelines: (United States),Face mask: (United States)
2017-11,3,<1,<1,<1,1
2017-12,2,<1,<1,<1,1
2018-01,3,<1,<1,<1,1
2018-02,3,<1,<1,<1,1
2018-03,2,<1,<1,<1,1
2018-04,2,<1,<1,<1,1
2018-05,2,<1,<1,<1,1
2018-06,2,<1,<1,<1,1
2018-07,2,<1,<1,<1,1
2018-08,3,<1,<1,<1,1
2018-09,3,<1,<1,<1,1
2018-10,3,<1,<1,<1,1
2018-11,3,<1,<1,<1,1
2018-12,2,<1,<1,<1,1
2019-01,3,<1,<1,<1,1
2019-02,4,<1,<1,<1,1
2019-03,4,<1,<1,<1,1
2019-04,4,<1,<1,<1,1
2019-05,4,<1,<1,<1,1
2019-06,3,<1,<1,<1,1
2019-07,3,<1,<1,<1,1
2019-08,3,<1,<1,<1,1
2019-09,3,<1,<1,<1,1
2019-10,3,<1,<1,<1,1
2019-11,3,<1,<1,<1,1
2019-12,3,<1,<1,<1,1
2020-01,3,<1,<1,<1,1
2020-02,4,<1,1,<1,2
2020-03,7,11,18,<1,5
2020-04,6,4,14,<1,19
2020-05,6,3,8,<1,10
2020-06,5,1,4,<1,8
2020-07,7,1,6,<1,10
2020-08,6,1,4,<1,6
2020-09,6,1,3,<1,4
2020-10,6,1,3,<1,4
2020-11,10,4,4,<1,3
2020-12,28,2,4,<1,3
2021-01,59,1,3,<1,3
2021-02,64,1,2,<1,2
2021-03,100,1,2,<1,2
2021-04,74,1,2,<1,2
2021-05,46,1,1,<1,1
2021-06,28,1,1,<1,1
2021-07,31,1,1,<1,1
2021-08,53,1,2,<1,2
2021-09,40,1,2,<1,2
2021-10,29,<1,1,<1,1
2021-11,30,1,1,<1,1
2021-12,26,1,4,<1,1
2022-01,32,1,5,<1,2
2022-02,13,1,1,<1,1
2022-03,9,<1,1,<1,1
2022-04,9,1,1,<1,1
2022-05,8,<1,1,<1,1
2022-06,9,<1,1,<1,1
2022-07,9,<1,2,<1,1
2022-08,10,<1,1,<1,1
2022-09,8,<1,1,<1,1
2022-10,8,<1,1,<1,1
2022-11,6,<1,1,<1,1
